TZSAZON_ID,HATKEZD,HATVEGE,NEV
1010,2007-10-20,3999-12-31,PANNONHALMA VÁROS POLGÁRMESTERI HIVATALA
10100,2010-10-13,3999-12-31,VILLÁNYKÖVESDI NÉMET ÖNKORMÁNYZAT
10101,2010-10-18,2012-02-12,GÁVAVENCSELLŐ NAGYKÖZSÉG NÉMET KISEBBSÉGI ÖNKORMÁNYZATA
10101,2012-02-13,3999-12-31,GÁVAVENCSELLŐ NAGYKÖZSÉG NÉMET NEMZETISÉGI ÖNKORMÁNYZATA
10102,2010-10-14,2011-12-31,SZERENCS VÁROS CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10102,2012-01-01,3999-12-31,SZERENCS VÁROS ROMA NEMZETISÉGI ÖNKORMÁNYZAT
10103,2010-10-14,2011-12-31,SAJÓLÁD RUSZIN KISEBBSÉGI ÖNKORMÁNYZAT
10103,2012-01-01,3999-12-31,SAJÓLÁD RUSZIN NEMZETISÉGI ÖNKORMÁNYZAT
10104,2010-10-14,2011-12-31,SAJÓLÁD CIGÁNY KISEBBSÉGI ÖNKORMÁNYZAT
10104,2012-01-01,3999-12-31,SAJÓLÁD ROMA NEMZETISÉGI ÖNKORMÁNYZAT
