TZSAZON_ID,AJTO,CIMTIP,CTELEP,EPULET,HATKEZD,HATVEGE,HAZSZ,IRSZ,KOZTJ,KOZTN,LEPCSOHAZ,ORSZ,PF,SZINT
10192,,SZ,Liget,,2010-11-10,3999-12-31,29,7331,01,József A.,,HU,,
10193,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
10194,,SZ,Budapest,,2011-01-01,3999-12-31,7-9,1122,01,Hajnóczy József,,HU,,
10195,,SZ,Budapest,,2011-01-01,2012-08-23,202,1108,01,Harmat,,HU,,
10195,,SZ,Budapest,,2012-08-24,3999-12-31,8-10,1139,01,Teve,,HU,,
10195,,LE,Budapest,,2012-08-24,3999-12-31,,1554,,,,HU,68,
10196,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
10197,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
10198,,SZ,Szerencs,,2010-08-17,3999-12-31,89,3900,02,Rákóczi,,HU,,
10199,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
102,,SZ,Gyula,,2007-10-20,3999-12-31,38,5700,07,Béke,,HU,,
102,,LE,Gyula,,2009-07-01,3999-12-31,,5701,,,,HU,49,
1020,,SZ,Iván,,2007-10-20,3999-12-31,84,9374,01,Fő,,HU,,
10200,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
10201,,SZ,Budapest,,2010-10-14,3999-12-31,17,1052,01,Semmelweis,,HU,,
10202,,SZ,Budapest,,2010-10-14,2012-09-05,12-14,1052,14,Károly,,HU,,
10202,,SZ,Budapest,,2012-09-06,3999-12-31,4,1051,05,Erzsébet,,HU,,
10203,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
10204,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
10205,,SZ,Budapest,,2010-10-14,3999-12-31,3,1053,01,Magyar,,HU,,
10206,,SZ,Budapest,,2010-10-14,3999-12-31,11-13,1052,01,Vármegye,,HU,,
10207,,SZ,Elek,,2010-10-14,3999-12-31,50,5742,02,Lökösházi,,HU,,
10208,,SZ,Elek,,2010-10-14,3999-12-31,10,5742,02,József A.,,HU,,
10209,,SZ,Elek,,2010-10-14,3999-12-31,2,5742,02,Gyulai,,HU,,
1021,,SZ,Lövő,,2007-10-20,3999-12-31,181,9461,01,Fő,,HU,,
10210,,SZ,Elek,,2010-10-13,3999-12-31,2,5742,02,Kétegyházi,,HU,,
10211,,SZ,Aranyosgadány,,2010-10-12,3999-12-31,25,7671,01,Kossuth,,HU,,
10212,,SZ,Aranyosgadány,,2010-10-12,3999-12-31,25,7671,01,Kossuth,,HU,,
10213,,SZ,Aranyosgadány,,2010-10-12,3999-12-31,25,7671,01,Kossuth,,HU,,
10214,,SZ,Alattyán,,2010-10-15,3999-12-31,1,5142,05,Szent István,,HU,,
10215,,SZ,Biharkeresztes,,2010-10-18,3999-12-31,57,4110,01,Széchenyi,,HU,,
10216,,SZ,Boldogkőváralja,,2010-10-15,3999-12-31,28,3885,01,Petőfi,,HU,,
10217,,SZ,Told,,2010-10-15,3999-12-31,4,4117,01,Kossuth,,HU,,
10218,,SZ,Bojt,,2010-10-18,3999-12-31,5,4114,01,Ady Endre,,HU,,
10219,,SZ,Kisbárapáti,,2010-10-18,3999-12-31,83,7282,01,Fő,,HU,,
