TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,PIRTIP
12464,2013-06-21,3999-12-31,NYÍRTASS KÖZSÉG ÖNKORMÁNYZATA,731971,1
12464,2013-06-21,3999-12-31,PETNEHÁZA KÖZSÉG ÖNKORMÁNYZATA,731993,1
12464,2013-06-21,3999-12-31,NYÍRJÁKÓ KÖZSÉG ÖNKORMÁNYZATA,443304,1
12465,2013-07-01,3999-12-31,TARNALELESZ KÖZSÉGI ÖNKORMÁNYZAT,379250,1
12465,2013-07-01,3999-12-31,BÜKKSZENTERZSÉBET KÖZSÉGI ÖNKORMÁNYZAT,729501,1
12465,2013-07-01,3999-12-31,SZENTDOMONKOS KÖZSÉGI ÖNKORMÁNYZAT,381675,1
12465,2013-07-01,3999-12-31,FEDÉMES KÖZSÉGI ÖNKORMÁNYZAT,381664,1
12466,2013-06-30,3999-12-31,MURASZEMENYE KÖZSÉG ÖNKORMÁNYZATA,432096,1
12466,2013-06-30,3999-12-31,CSÖRNYEFÖLD KÖZSÉG ÖNKORMÁNYZATA,558491,1
12466,2013-06-30,3999-12-31,SZENTMARGITFALVA KÖZSÉG ÖNKORMÁNYZATA,436555,1
12466,2013-06-30,3999-12-31,KERKASZENTKIRÁLY KÖZSÉG ÖNKORMÁNYZATA,436533,1
12467,2013-07-01,3999-12-31,TISZASZALKA KÖZSÉG ÖNKORMÁNYZATA,405252,1
12467,2013-07-01,3999-12-31,VÁMOSATYA KÖZSÉG ÖNKORMÁNYZATA,443513,1
12467,2013-07-01,3999-12-31,TISZAVID KÖZSÉG ÖNKORMÁNYZATA,443492,1
12468,2013-07-01,3999-12-31,MUCSI KÖZSÉG ÖNKORMÁNYZATA,417699,1
12468,2013-07-01,3999-12-31,GYÖNK VÁROS ÖNKORMÁNYZATA,733382,1
12468,2013-07-01,3999-12-31,BELECSKA KÖZSÉGI ÖNKORMÁNYZAT,417842,1
12469,2013-07-02,3999-12-31,HÉREG KÖZSÉG ÖNKORMÁNYZATA,387347,1
12469,2013-07-02,3999-12-31,HÉREG KÖZSÉG ÖNKORMÁNYZATA,387347,4
1247,2009-01-01,3999-12-31,LŐRINCI VÁROSI ÖNKORMÁNYZAT,729150,1
12470,2013-07-01,3999-12-31,MUCSI KÖZSÉG ÖNKORMÁNYZATA,417699,1
12470,2013-07-01,3999-12-31,GYÖNK VÁROS ÖNKORMÁNYZATA,733382,1
12470,2013-07-01,3999-12-31,BELECSKA KÖZSÉGI ÖNKORMÁNYZAT,417842,1
12470,2013-07-01,3999-12-31,GYÖNKI ÓVODAFENNTARTÓ TÁRSULÁS,820158,4
12471,2013-07-01,3999-12-31,BAKONYKOPPÁNY KÖZSÉG ÖNKORMÁNYZATA,426848,1
12471,2013-07-01,3999-12-31,UGOD KÖZSÉG ÖNKORMÁNYZATA,428215,1
12471,2013-07-01,3999-12-31,NAGYTEVEL KÖZSÉG ÖNKORMÁNYZATA,426871,1
12471,2013-07-01,3999-12-31,BAKONYSZÜCS KÖZSÉG ÖNKORMÁNYZATA,426859,1
12472,2013-07-01,3999-12-31,ERZSÉBET KÖZSÉG ÖNKORMÁNYZAT,330628,1
12472,2013-07-01,3999-12-31,BERKESD KÖZSÉGI ÖNKORMÁNYZAT,332808,1
12472,2013-07-01,3999-12-31,KÁTOLY KÖZSÉG ÖNKORMÁNYZAT,333827,1
12472,2013-07-01,3999-12-31,KÉKESD KÖZSÉG ÖNKORMÁNYZAT,333838,1
12472,2013-07-01,3999-12-31,SZELLŐ KÖZSÉG ÖNKORMÁNYZAT,333849,1
12472,2013-07-01,3999-12-31,PÉCSVÁRAD VÁROS ÖNKORMÁNYZATA,724177,1
12472,2013-07-01,3999-12-31,SZILÁGY KÖZSÉGI ÖNKORMÁNYZAT,335029,1
12472,2013-07-01,3999-12-31,FAZEKASBODA KÖZSÉG ÖNKORMÁNYZATA,335128,1
12472,2013-07-01,3999-12-31,MARTONFA KÖZSÉG ÖNKORMÁNYZATA,335315,1
12472,2013-07-01,3999-12-31,NAGYPALL KÖZSÉG ÖNKORMÁNYZATA,335326,1
12472,2013-07-01,3999-12-31,ZENGŐVÁRKONY KÖZSÉGI ÖNKORMÁNYZAT,335337,1
12472,2013-07-01,3999-12-31,PEREKED KÖZSÉG ÖNKORMÁNYZATA,335018,1
12473,2013-06-13,3999-12-31,GYŐRÖCSKE KÖZSÉG ÖNKORMÁNYZATA,442879,1
12473,2013-06-13,3999-12-31,ZÁHONY VÁROS ÖNKORMÁNYZATA,732044,1
12473,2013-06-13,3999-12-31,ZSURK KÖZSÉG ÖNKORMÁNYZATA,442989,1
12474,2013-07-01,3999-12-31,ELŐSZÁLLÁS NAGYKÖZSÉG ÖNKORMÁNYZATA,727134,1
12474,2013-07-01,3999-12-31,ELŐSZÁLLÁS NAGYKÖZSÉG ÖNKORMÁNYZATA,727134,4
12475,2013-06-30,3999-12-31,KARMACS KÖZSÉG ÖNKORMÁNYZATA,432481,1
12475,2013-06-30,3999-12-31,ZALASZÁNTÓ KÖZSÉG ÖNKORMÁNYZATA,432580,1
12475,2013-06-30,3999-12-31,BALATONGYÖRÖK KÖZSÉG ÖNKORMÁNYZATA,435404,1
12475,2013-06-30,3999-12-31,VINDORNYAFOK KÖZSÉG ÖNKORMÁNYZATA,435888,1
12475,2013-06-30,3999-12-31,GYENESDIÁS NAGYKÖZSÉG ÖNKORMÁNYZATA,734499,1
12475,2013-06-30,3999-12-31,VINDORNYALAK KÖZSÉG ÖNKORMÁNYZATA,435965,1
12475,2013-06-30,3999-12-31,VONYARCVASHEGY NAGYKÖZSÉG ÖNKORMÁNYZATA,734389,1
