TZSAZON_ID,PIR,STATUSZ,VIZSGDATUM,VIZSGDATUMTOL,XMLDATUM
1027,367297,H,2013-11-15,2013-11-15,2013-11-15
10270,790477,H,2013-11-15,2013-11-15,2013-11-15
10271,790488,H,2013-11-15,2013-11-15,2013-11-15
10272,790499,H,2013-11-15,2013-11-15,2013-11-15
10273,790509,H,2013-11-15,2013-11-15,2013-11-15
10274,790510,H,2013-11-15,2013-11-15,2013-11-15
10275,790521,H,2013-11-15,2013-11-15,2013-11-15
10276,790532,H,2013-11-15,2013-11-15,2013-11-15
10277,790543,H,2013-11-15,2013-11-15,2013-11-15
10278,790554,H,2013-11-15,2013-11-15,2013-11-15
10279,790587,H,2013-11-15,2013-11-15,2013-11-15
1028,367307,H,2013-11-15,2013-11-15,2013-11-15
10280,790598,H,2013-11-15,2013-11-15,2013-11-15
10281,790608,H,2013-11-15,2013-11-15,2013-11-15
10282,790619,H,2013-11-15,2013-11-15,2013-11-15
10283,790620,H,2013-11-15,2013-11-15,2013-11-15
10284,790631,H,2013-11-15,2013-11-15,2013-11-15
10285,790653,H,2013-11-15,2013-11-15,2013-11-15
10286,790664,H,2013-11-15,2013-11-15,2013-11-15
10287,790697,H,2013-11-15,2013-11-15,2013-11-15
10288,790707,H,2013-11-15,2013-11-15,2013-11-15
10289,790718,H,2013-11-15,2013-11-15,2013-11-15
1029,367406,H,2013-11-15,2013-11-15,2013-11-15
10290,790729,H,2013-11-15,2013-11-15,2013-11-15
10291,790730,H,2013-11-15,2013-11-15,2013-11-15
10292,790741,H,2013-11-15,2013-11-15,2013-11-15
10293,790763,H,2013-11-15,2013-11-15,2013-11-15
10294,790785,H,2013-11-15,2013-11-15,2013-11-15
10295,790796,H,2013-11-15,2013-11-15,2013-11-15
10296,790806,H,2013-11-15,2013-11-15,2013-11-15
10297,790828,H,2013-11-15,2013-11-15,2013-11-15
10298,790840,H,2013-11-15,2013-11-15,2013-11-15
10299,790862,H,2013-11-15,2013-11-15,2013-11-15
103,311476,H,2013-11-15,2013-11-15,2013-11-15
1030,367417,H,2013-11-15,2013-11-15,2013-11-15
10300,790873,H,2013-11-15,2013-11-15,2013-11-15
10301,790884,H,2013-11-15,2013-11-15,2013-11-15
10302,790895,H,2013-11-15,2013-11-15,2013-11-15
10303,790905,H,2013-11-15,2013-11-15,2013-11-15
10304,790916,H,2013-11-15,2013-11-15,2013-11-15
10305,790927,H,2013-11-15,2013-11-15,2013-11-15
10306,790938,H,2013-11-15,2013-11-15,2013-11-15
10307,790949,H,2013-11-15,2013-11-15,2013-11-15
10308,790950,H,2013-11-15,2013-11-15,2013-11-15
10309,790961,H,2013-11-15,2013-11-15,2013-11-15
1031,367637,H,2013-11-15,2013-11-15,2013-11-15
